"INCIDENT_KEY","VICTIM_ID","VICTIM_AGE_GROUP","VICTIM_SEX","VICTIM_RACE","STAT_MURDER_FLG"
"88330800","88330800-24185","18-24","MALE","BLACK","N"
"88359016","88359016-24196","18-24","MALE","BLACK","N"
"88464989","88464989-24230","18-24","MALE","BLACK","N"
"88464990","88464990-24232","18-24","MALE","BLACK","N"
"88545724","88545724-24260","18-24","MALE","BLACK","N"
"88596786","88596786-24273","25-44","MALE","WHITE HISPANIC","Y"
"88596786","88596786-24274","18-24","FEMALE","WHITE HISPANIC","Y"
"88689425","88689425-24291","25-44","MALE","WHITE HISPANIC","N"
"89047358","89047358-24344","<18","MALE","BLACK HISPANIC","N"
"89047358","89047358-24345","<18","MALE","BLACK HISPANIC","N"
"89060460","89060460-24351","18-24","MALE","WHITE HISPANIC","N"
"89121282","89121282-24359","25-44","MALE","BLACK","N"
"89220234","89220234-24375","25-44","MALE","BLACK","N"
"89289970","89289970-24386","25-44","MALE","BLACK HISPANIC","N"
"89298582","89298582-24390","25-44","MALE","BLACK","Y"
"89423886","89423886-24404","18-24","FEMALE","BLACK","N"
"89423886","89423886-24405","18-24","MALE","BLACK","N"
"89423886","89423886-24406","25-44","MALE","BLACK","N"
"89658160","89658160-24442","25-44","MALE","BLACK","N"
"89691788","89691788-24449","18-24","MALE","BLACK","N"
"89691788","89691788-24450","25-44","MALE","BLACK","N"
"89770268","89770268-24466","25-44","MALE","BLACK","N"
"89859446","89859446-24485","<18","MALE","BLACK HISPANIC","N"
"89875772","89875772-24488","25-44","MALE","BLACK","Y"
"89903243","89903243-24497","18-24","MALE","BLACK","N"
"89943023","89943023-24505","18-24","MALE","WHITE HISPANIC","N"
"90033892","90033892-24517","25-44","MALE","BLACK","Y"
"90213039","90213039-24554","45-64","MALE","WHITE HISPANIC","N"
"90253497","90253497-24567","<18","MALE","BLACK","Y"
"90339325","90339325-24591","25-44","MALE","BLACK","Y"
"90350054","90350054-24594","25-44","MALE","BLACK","Y"
"90370145","90370145-24596","18-24","MALE","BLACK","N"
"90370145","90370145-24597","<18","MALE","BLACK","N"
"90460259","90460259-24612","18-24","MALE","BLACK","N"
"90475396","90475396-24614","25-44","MALE","BLACK","N"
"90576800","90576800-24633","25-44","MALE","BLACK","N"
"90636513","90636513-24646","18-24","MALE","BLACK","N"
"90702193","90702193-24661","18-24","MALE","BLACK","N"
"90702195","90702195-24665","25-44","MALE","BLACK","N"
"90820225","90820225-24688","25-44","MALE","BLACK","N"
"90884567","90884567-24701","18-24","MALE","BLACK","N"
"90929004","90929004-24726","18-24","MALE","BLACK","N"
"91095160","91095160-24764","<18","MALE","BLACK","N"
"91095160","91095160-24765","<18","MALE","BLACK","N"
"91192831","91192831-24796","18-24","MALE","BLACK","N"
"91192831","91192831-24797","18-24","MALE","BLACK","N"
"91192831","91192831-24798","18-24","FEMALE","BLACK","N"
"91274974","91274974-24827","18-24","MALE","BLACK","N"
"91285414","91285414-24831","45-64","MALE","ASIAN / PACIFIC ISLANDER","N"
"91303516","91303516-24838","25-44","MALE","BLACK","N"
"91344011","91344011-24850","18-24","MALE","BLACK","Y"
"91408475","91408475-24883","45-64","MALE","WHITE","N"
"91463280","91463280-24895","45-64","MALE","BLACK","N"
"91472648","91472648-24897","18-24","MALE","BLACK","N"
"91499738","91499738-24914","25-44","MALE","BLACK","Y"
"91683338","91683338-24966","18-24","MALE","WHITE","N"
"91732783","91732783-24991","18-24","MALE","BLACK","Y"
"91797780","91797780-25015","25-44","MALE","BLACK","Y"
"91963084","91963084-25051","18-24","MALE","BLACK","Y"
"91968293","91968293-25058","18-24","MALE","BLACK","N"
"91968297","91968297-25064","25-44","MALE","WHITE HISPANIC","N"
"92077590","92077590-25078","25-44","MALE","BLACK","Y"
"92188122","92188122-25152","18-24","MALE","BLACK","N"
"92221382","92221382-25158","25-44","MALE","BLACK","N"
"92293259","92293259-25193","25-44","MALE","BLACK","Y"
"92385893","92385893-25222","<18","MALE","BLACK HISPANIC","N"
"92385893","92385893-25223","25-44","MALE","BLACK","N"
"92386265","92386265-25231","25-44","MALE","BLACK","N"
"92393423","92393423-25236","<18","MALE","BLACK","N"
"92489481","92489481-25280","18-24","MALE","BLACK","N"
"92500636","92500636-25287","18-24","MALE","BLACK","N"
"92507648","92507648-25296","25-44","MALE","BLACK","N"
"92525610","92525610-25299","18-24","MALE","BLACK","Y"
"92597740","92597740-25317","18-24","MALE","BLACK","N"
"92655212","92655212-25330","25-44","MALE","BLACK","Y"
"92711255","92711255-25343","18-24","MALE","BLACK HISPANIC","N"
"92728167","92728167-25351","45-64","MALE","BLACK","Y"
"93074940","93074940-25445","18-24","MALE","BLACK HISPANIC","N"
"93102601","93102601-25453","18-24","MALE","BLACK HISPANIC","N"
"93164818","93164818-25464","25-44","MALE","BLACK HISPANIC","N"
"93164821","93164821-25468","25-44","MALE","BLACK","N"
"93255125","93255125-25489","18-24","MALE","BLACK","N"
"93255126","93255126-25490","45-64","MALE","BLACK","N"
"93509182","93509182-25557","18-24","MALE","BLACK","N"
"93589700","93589700-25574","25-44","MALE","BLACK","Y"
"93589840","93589840-25575","18-24","MALE","BLACK","N"
"93710340","93710340-25605","25-44","MALE","BLACK","N"
"93932277","93932277-25672","25-44","MALE","BLACK","N"
"94137204","94137204-25711","18-24","MALE","BLACK","N"
"94147103","94147103-25721","18-24","MALE","ASIAN / PACIFIC ISLANDER","Y"
"94261522","94261522-25761","25-44","MALE","BLACK","N"
"94317772","94317772-25792","18-24","MALE","BLACK HISPANIC","Y"
"215770231","215770231-1","18-24","MALE","BLACK","N"
"94484285","94484285-25821","<18","MALE","WHITE HISPANIC","N"
"94636795","94636795-25856","25-44","MALE","ASIAN / PACIFIC ISLANDER","N"
"94684883","94684883-25863","25-44","MALE","BLACK","N"
"94730842","94730842-25874","<18","MALE","BLACK","N"
"94738551","94738551-25875","25-44","MALE","BLACK","N"
"94934292","94934292-25904","<18","MALE","BLACK HISPANIC","N"
"95002547","95002547-25917","18-24","MALE","BLACK","N"
"95050737","95050737-25925","18-24","FEMALE","BLACK","Y"
"95266278","95266278-25944","25-44","MALE","BLACK","N"
"95301719","95301719-25952","<18","MALE","BLACK","N"
"95318079","95318079-25959","18-24","MALE","BLACK","N"
"95385217","95385217-25984","25-44","MALE","BLACK","N"
"95498280","95498280-25996","<18","MALE","BLACK","N"
"95504868","95504868-26001","<18","MALE","BLACK","N"
"109152978","109152978-26007","18-24","MALE","BLACK","N"
"109152978","109152978-26008","18-24","MALE","BLACK","N"
"109374270","109374270-26040","45-64","MALE","WHITE HISPANIC","Y"
"109469978","109469978-26061","25-44","MALE","BLACK","N"
"109509241","109509241-26069","18-24","MALE","BLACK","N"
"109548289","109548289-26072","25-44","MALE","ASIAN / PACIFIC ISLANDER","N"
"109548917","109548917-26080","18-24","MALE","BLACK","N"
"109558432","109558432-26084","65+","FEMALE","WHITE","Y"
"109584597","109584597-26098","25-44","MALE","BLACK","Y"
"109659975","109659975-26104","18-24","MALE","WHITE HISPANIC","N"
"136393519","136393519-26125","18-24","MALE","BLACK","N"
"136571900","136571900-26161","18-24","MALE","BLACK HISPANIC","N"
"136571902","136571902-26163","25-44","MALE","BLACK","N"
"136666128","136666128-26182","25-44","MALE","BLACK","Y"
"136666128","136666128-26183","18-24","MALE","BLACK","Y"
"136793221","136793221-26213","45-64","MALE","BLACK","N"
"136918546","136918546-26254","25-44","MALE","BLACK","N"
"136923523","136923523-26259","18-24","FEMALE","BLACK","N"
"136941162","136941162-26273","18-24","FEMALE","BLACK","N"
"136996343","136996343-26279","25-44","MALE","BLACK","Y"
"137018806","137018806-26293","18-24","MALE","BLACK","N"
"137018806","137018806-26311","18-24","MALE","BLACK","N"
"137067717","137067717-26318","18-24","MALE","BLACK HISPANIC","N"
"137143001","137143001-26350","25-44","MALE","BLACK","N"
"137247987","137247987-26367","18-24","MALE","BLACK","N"
"137297904","137297904-26384","18-24","MALE","BLACK","N"
"137304273","137304273-26391","18-24","MALE","BLACK","N"
"137354852","137354852-26419","25-44","MALE","BLACK","N"
"299648921","299648921-1","18-24","MALE","BLACK","N"
"212132075","212132075-1","18-24","MALE","WHITE HISPANIC","N"
"138857113","138857113-26956","18-24","MALE","WHITE HISPANIC","N"
"212557700","212557700-1","25-44","MALE","BLACK","N"
"270085084","270085084-1","25-44","MALE","BLACK","N"
"270085084","270085084-2","45-64","MALE","BLACK","N"
"270085084","270085084-3","18-24","MALE","BLACK","N"
"138877650","138877650-26962","25-44","MALE","BLACK","N"
"167710472","167710472-31229","18-24","MALE","BLACK","N"
"212640103","212640103-1","25-44","MALE","BLACK","N"
"300197278","300197278-1","<18","MALE","BLACK","N"
"167871187","167871187-31253","25-44","MALE","BLACK","N"
"139654790","139654790-27194","18-24","MALE","BLACK","N"
"270335892","270335892-1","25-44","MALE","BLACK","N"
"270335892","270335892-2","18-24","FEMALE","BLACK","N"
"270380855","270380855-1","25-44","MALE","WHITE","N"
"167960378","167960378-31261","25-44","MALE","BLACK","N"
"10038637","10038637-8197","18-24","MALE","BLACK","N"
"10038649","10038649-8213","25-44","MALE","BLACK","N"
"10137416","10137416-8225","25-44","MALE","WHITE","N"
"10137434","10137434-8247","<18","MALE","BLACK","Y"
"10187509","10187509-8275","18-24","MALE","BLACK","N"
"139625520","139625520-27185","<18","MALE","BLACK","N"
"139625520","139625520-27186","18-24","MALE","BLACK","N"
"10240263","10240263-8315","18-24","MALE","BLACK","N"
"10411004","10411004-8365","18-24","MALE","WHITE","N"
"10454376","10454376-8404","<18","MALE","BLACK","N"
"10454376","10454376-8405","18-24","MALE","BLACK","N"
"10454386","10454386-8416","18-24","MALE","WHITE HISPANIC","N"
"10619075","10619075-8455","25-44","MALE","BLACK","N"
"10619082","10619082-8466","25-44","MALE","BLACK","N"
"10660763","10660763-8502","25-44","MALE","WHITE","N"
"10660763","10660763-8503","25-44","MALE","WHITE HISPANIC","N"
"10713400","10713400-8515","25-44","MALE","BLACK","N"
"10713401","10713401-8516","25-44","MALE","WHITE HISPANIC","N"
"10713403","10713403-8518","18-24","MALE","BLACK","N"
"10804587","10804587-8555","18-24","MALE","BLACK","N"
"10879221","10879221-8605","18-24","MALE","BLACK","Y"
"10953931","10953931-8633","25-44","MALE","BLACK","Y"
"10953938","10953938-8640","25-44","MALE","WHITE HISPANIC","N"
"11118192","11118192-8683","<18","MALE","WHITE HISPANIC","Y"
"11118195","11118195-8688","65+","MALE","BLACK","Y"
"11118234","11118234-8739","18-24","FEMALE","BLACK","N"
"11118846","11118846-8668","18-24","MALE","BLACK","N"
"11118846","11118846-8669","25-44","MALE","BLACK","N"
"12835950","12835950-8802","<18","MALE","WHITE HISPANIC","N"
"12835952","12835952-8807","18-24","MALE","BLACK","N"
"15400565","15400565-8851","25-44","MALE","BLACK","N"
"15400569","15400569-8856","<18","MALE","BLACK","Y"
"16631430","16631430-8864","18-24","MALE","BLACK","N"
"270436625","270436625-1","18-24","FEMALE","WHITE HISPANIC","N"
"16631478","16631478-8928","25-44","MALE","BLACK","N"
"16631478","16631478-8929","25-44","MALE","BLACK","N"
"16631478","16631478-8930","18-24","MALE","BLACK","N"
"16631478","16631478-8931","18-24","MALE","BLACK","N"
"16631478","16631478-8932","18-24","MALE","BLACK","N"
"16631490","16631490-8950","25-44","MALE","WHITE HISPANIC","Y"
"16692665","16692665-8982","18-24","MALE","WHITE HISPANIC","N"
"16692681","16692681-9006","18-24","MALE","BLACK","N"
"16733764","16733764-9025","25-44","MALE","BLACK","N"
"16733770","16733770-9033","18-24","MALE","BLACK","N"
"16733771","16733771-9034","18-24","MALE","BLACK","N"
"16733773","16733773-9036","25-44","MALE","BLACK","N"
"16733773","16733773-9037","25-44","MALE","BLACK","N"
"16733776","16733776-9041","25-44","MALE","BLACK","Y"
"16814031","16814031-9076","18-24","MALE","WHITE HISPANIC","Y"
"16814031","16814031-9077","<18","MALE","BLACK","N"
"16814043","16814043-9091","25-44","MALE","WHITE HISPANIC","Y"
"16814047","16814047-9095","25-44","MALE","BLACK","N"
"16895005","16895005-9098","18-24","MALE","BLACK","N"
"16895005","16895005-9099","18-24","MALE","BLACK","N"
"16895005","16895005-9100","18-24","MALE","BLACK","N"
